,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN250718C00105000,2025-01-21 17:33:18+00:00,105.0,129.26,130.45,133.45,0.0,0.0,3,6,0.7535425036621093,True,REGULAR,USD
1,AMZN250718C00110000,2025-01-21 18:17:24+00:00,110.0,124.49,126.85,128.1,0.0,0.0,1,1,0.7528100891113281,True,REGULAR,USD
2,AMZN250718C00115000,2024-12-16 15:08:44+00:00,115.0,117.53,109.0,109.65,0.0,0.0,1,1,1.0000000000000003e-05,True,REGULAR,USD
3,AMZN250718C00120000,2025-01-23 18:27:00+00:00,120.0,116.76,116.0,118.9,0.0,0.0,1,5,0.6765169067382814,True,REGULAR,USD
4,AMZN250718C00125000,2025-01-02 17:19:17+00:00,125.0,101.9,112.0,113.55,0.0,0.0,2,0,0.6604037866210939,True,REGULAR,USD
5,AMZN250718C00130000,2025-01-13 15:08:34+00:00,130.0,92.8,107.25,109.2,0.0,0.0,1,43,0.6496006719970704,True,REGULAR,USD
6,AMZN250718C00135000,2025-01-15 17:14:09+00:00,135.0,90.56,103.0,103.9,0.0,0.0,1,26,0.6262244409179689,True,REGULAR,USD
7,AMZN250718C00140000,2025-01-23 15:51:26+00:00,140.0,98.3,96.8,99.6,0.0,0.0,1,72,0.5812419805908204,True,REGULAR,USD
8,AMZN250718C00145000,2025-01-13 17:52:20+00:00,145.0,77.68,92.75,94.3,0.0,0.0,4,24,0.5636640313720704,True,REGULAR,USD
9,AMZN250718C00150000,2025-01-24 17:27:33+00:00,150.0,88.1,88.05,89.55,-0.7000046,-0.7882934,1,27,0.5433395275878907,True,REGULAR,USD
10,AMZN250718C00155000,2025-01-14 20:08:02+00:00,155.0,67.5,83.55,85.1,0.0,0.0,12,2022,0.5319871020507813,True,REGULAR,USD
11,AMZN250718C00160000,2025-01-24 20:53:29+00:00,160.0,79.5,79.0,80.1,8.459999,11.908782,1,41,0.5087329400634766,True,REGULAR,USD
12,AMZN250718C00165000,2025-01-24 20:15:35+00:00,165.0,73.53,72.95,75.45,1.0299988,1.420688,1,43,0.5069629382324219,True,REGULAR,USD
13,AMZN250718C00170000,2025-01-21 16:52:46+00:00,170.0,66.65,69.25,71.35,0.0,0.0,1,24,0.5020191400146485,True,REGULAR,USD
14,AMZN250718C00175000,2025-01-22 14:55:33+00:00,175.0,64.55,65.55,66.05,0.0,0.0,1,153,0.4622246160888672,True,REGULAR,USD
15,AMZN250718C00180000,2025-01-22 16:10:23+00:00,180.0,61.0,60.75,61.65,0.0,0.0,4,62,0.44730166961669915,True,REGULAR,USD
16,AMZN250718C00185000,2025-01-24 16:52:13+00:00,185.0,56.85,56.3,57.95,-0.05000305,-0.08787882,1,51,0.4480035668945312,True,REGULAR,USD
17,AMZN250718C00190000,2025-01-23 14:49:22+00:00,190.0,52.26,52.5,52.95,0.0,0.0,1,59,0.4163266375732422,True,REGULAR,USD
18,AMZN250718C00195000,2025-01-24 20:21:08+00:00,195.0,47.35,48.3,48.75,-0.8900032,-1.8449485,3,51,0.40228869201660156,True,REGULAR,USD
19,AMZN250718C00200000,2025-01-24 20:57:12+00:00,200.0,44.8,44.45,44.8,-0.52000046,-1.1473973,85,525,0.3918517846679687,True,REGULAR,USD
20,AMZN250718C00205000,2025-01-24 19:49:22+00:00,205.0,39.63,40.3,41.15,-0.61999893,-1.54037,2,94,0.3852295364379882,True,REGULAR,USD
21,AMZN250718C00210000,2025-01-24 20:56:22+00:00,210.0,37.15,36.95,37.35,-0.29999924,-0.80106604,8,163,0.3735109036254882,True,REGULAR,USD
22,AMZN250718C00215000,2025-01-24 17:08:15+00:00,215.0,32.85,33.35,33.75,-0.25,-0.75528705,24,696,0.36331813446044925,True,REGULAR,USD
23,AMZN250718C00220000,2025-01-24 20:47:44+00:00,220.0,29.68,30.1,30.45,0.26000023,0.8837533,24,1113,0.35596347167968745,True,REGULAR,USD
24,AMZN250718C00225000,2025-01-24 20:29:11+00:00,225.0,26.3,27.0,27.4,-1.4000015,-5.054157,37,763,0.3501957070922851,True,REGULAR,USD
25,AMZN250718C00230000,2025-01-24 20:59:33+00:00,230.0,24.32,24.15,24.4,-0.5300007,-2.1327994,99,2758,0.3426274234008788,True,REGULAR,USD
26,AMZN250718C00235000,2025-01-24 20:24:02+00:00,235.0,20.9,21.45,21.7,-1.25,-5.643341,26,2533,0.33719534881591795,False,REGULAR,USD
27,AMZN250718C00240000,2025-01-24 20:29:18+00:00,240.0,18.35,18.95,19.15,-0.35000038,-1.8716598,35,689,0.33136654968261714,False,REGULAR,USD
28,AMZN250718C00245000,2025-01-24 20:56:05+00:00,245.0,16.7,16.65,16.85,-0.19999886,-1.1834252,88,1196,0.3266974069213867,False,REGULAR,USD
29,AMZN250718C00250000,2025-01-24 19:48:52+00:00,250.0,14.03,14.6,14.8,-0.77000046,-5.202706,367,742,0.3231574032592772,False,REGULAR,USD
30,AMZN250718C00255000,2025-01-24 20:21:26+00:00,255.0,12.28,12.75,12.9,-0.6500006,-5.0270734,13,535,0.31928170959472646,False,REGULAR,USD
31,AMZN250718C00260000,2025-01-24 20:21:26+00:00,260.0,10.67,11.05,11.25,-0.9300003,-8.017243,98,864,0.3167182586669921,False,REGULAR,USD
32,AMZN250718C00265000,2025-01-24 20:55:10+00:00,265.0,9.58,9.55,9.75,-0.22000027,-2.2449007,4,898,0.31403273864746095,False,REGULAR,USD
33,AMZN250718C00270000,2025-01-24 15:38:00+00:00,270.0,8.4,8.25,8.4,-0.35000038,-4.0000043,4,1205,0.3112861840820312,False,REGULAR,USD
34,AMZN250718C00275000,2025-01-24 20:48:07+00:00,275.0,6.95,7.1,7.25,-0.05000019,-0.7142884,8,254,0.3096077340698242,False,REGULAR,USD
35,AMZN250718C00280000,2025-01-24 20:51:10+00:00,280.0,6.05,6.05,6.25,-0.14999962,-2.4193487,90,818,0.3083565258789062,False,REGULAR,USD
36,AMZN250718C00285000,2025-01-23 17:04:22+00:00,285.0,5.22,5.2,5.35,0.0,0.0,31,144,0.30676962768554683,False,REGULAR,USD
37,AMZN250718C00290000,2025-01-24 17:34:45+00:00,290.0,4.45,4.45,4.6,-0.10000038,-2.1978104,2,58,0.3061592822265625,False,REGULAR,USD
