,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN260618P00075000,2025-01-24 17:36:26+00:00,75.0,0.48,0.38,0.52,-0.14000002,-22.580647,2.0,1033,0.4699760034179688,False,REGULAR,USD
1,AMZN260618P00080000,2025-01-07 14:48:43+00:00,80.0,0.72,0.45,0.59,0.0,0.0,6.0,880,0.45386288330078123,False,REGULAR,USD
2,AMZN260618P00085000,2025-01-10 20:05:52+00:00,85.0,0.9,0.46,0.78,0.0,0.0,7.0,149,0.44995667236328124,False,REGULAR,USD
3,AMZN260618P00090000,2025-01-24 16:29:35+00:00,90.0,0.75,0.6,0.78,-0.089999974,-10.714283,2.0,241,0.4265194067382813,False,REGULAR,USD
4,AMZN260618P00095000,2025-01-24 16:34:18+00:00,95.0,0.85,0.75,0.9,-0.01999998,-2.2988484,3.0,167,0.4145566357421875,False,REGULAR,USD
5,AMZN260618P00100000,2025-01-24 18:56:53+00:00,100.0,0.96,0.88,1.03,-0.01000005,-1.0309329,3.0,2645,0.4027159338378906,False,REGULAR,USD
6,AMZN260618P00105000,2025-01-24 16:29:56+00:00,105.0,1.05,1.03,1.18,-0.09000003,-7.8947396,1.0,1206,0.3918517846679687,False,REGULAR,USD
7,AMZN260618P00110000,2025-01-24 16:37:10+00:00,110.0,1.3,1.2,1.35,0.0,0.0,2.0,3620,0.38147591186523433,False,REGULAR,USD
8,AMZN260618P00115000,2025-01-23 16:10:42+00:00,115.0,1.54,1.39,1.59,0.0,0.0,2.0,394,0.37390762817382805,False,REGULAR,USD
9,AMZN260618P00120000,2025-01-22 19:06:14+00:00,120.0,1.83,1.61,1.79,0.0,0.0,2.0,1088,0.3635317553710938,False,REGULAR,USD
10,AMZN260618P00125000,2025-01-22 18:25:33+00:00,125.0,2.12,1.87,2.08,0.0,0.0,3.0,1747,0.3562076098632812,False,REGULAR,USD
11,AMZN260618P00130000,2025-01-23 16:11:20+00:00,130.0,2.38,2.22,2.38,0.0,0.0,1.0,3428,0.3481510498046875,False,REGULAR,USD
12,AMZN260618P00135000,2025-01-22 19:27:01+00:00,135.0,2.88,2.57,2.79,0.0,0.0,279.0,3394,0.34265794067382804,False,REGULAR,USD
13,AMZN260618P00140000,2025-01-21 15:04:46+00:00,140.0,3.5,2.98,3.15,0.0,0.0,2.0,1448,0.3345403460693359,False,REGULAR,USD
14,AMZN260618P00145000,2025-01-22 16:15:17+00:00,145.0,3.73,3.4,3.65,0.0,0.0,4.0,1625,0.3291693060302734,False,REGULAR,USD
15,AMZN260618P00150000,2025-01-23 17:06:27+00:00,150.0,4.25,3.95,4.2,0.0,0.0,2.0,3342,0.3237067141723632,False,REGULAR,USD
16,AMZN260618P00155000,2025-01-24 15:28:27+00:00,155.0,4.8,4.55,4.9,-0.19999981,-3.9999962,1.0,3253,0.32019722778320303,False,REGULAR,USD
17,AMZN260618P00160000,2025-01-24 19:10:34+00:00,160.0,5.65,5.25,5.6,0.13999987,2.5408323,7.0,2273,0.31525342956542957,False,REGULAR,USD
18,AMZN260618P00165000,2025-01-23 20:34:03+00:00,165.0,6.28,6.0,6.35,0.0,0.0,8.0,2764,0.30997394134521483,False,REGULAR,USD
19,AMZN260618P00170000,2025-01-24 20:37:43+00:00,170.0,7.15,6.85,7.25,-0.28999996,-3.897849,2.0,3456,0.3060066958618164,False,REGULAR,USD
20,AMZN260618P00175000,2025-01-23 19:22:21+00:00,175.0,8.3,7.8,8.15,0.0,0.0,57.0,1577,0.3007577249145508,False,REGULAR,USD
21,AMZN260618P00180000,2025-01-24 19:10:03+00:00,180.0,9.26,8.85,9.15,-0.55999947,-5.7026424,22.0,2810,0.29584444396972653,False,REGULAR,USD
22,AMZN260618P00185000,2025-01-24 19:21:12+00:00,185.0,10.5,9.9,10.4,-0.029999733,-0.28489774,10.0,1571,0.2930978894042968,False,REGULAR,USD
23,AMZN260618P00190000,2025-01-22 14:54:05+00:00,190.0,12.0,11.2,11.55,0.0,0.0,1.0,1880,0.28777262527465813,False,REGULAR,USD
24,AMZN260618P00195000,2025-01-24 16:08:01+00:00,195.0,13.0,12.55,13.0,-0.84000015,-6.069365,30.0,876,0.2849192602539062,False,REGULAR,USD
25,AMZN260618P00200000,2025-01-24 16:43:02+00:00,200.0,14.33,13.95,14.55,-0.5699997,-3.8255014,2.0,938,0.2818980502319336,False,REGULAR,USD
26,AMZN260618P00205000,2025-01-24 16:43:02+00:00,205.0,15.88,15.6,16.15,-2.3200006,-12.747256,1.0,174,0.27815968429565424,False,REGULAR,USD
27,AMZN260618P00210000,2025-01-23 20:02:58+00:00,210.0,17.9,17.3,17.85,0.0,0.0,2.0,565,0.27426873199462887,False,REGULAR,USD
28,AMZN260618P00215000,2025-01-15 17:32:11+00:00,215.0,23.95,19.05,19.7,0.0,0.0,191.0,770,0.2707287283325196,False,REGULAR,USD
29,AMZN260618P00220000,2025-01-24 20:40:33+00:00,220.0,21.7,20.7,21.6,0.15999985,0.74280334,6.0,780,0.2664868273925781,False,REGULAR,USD
30,AMZN260618P00225000,2025-01-24 16:52:08+00:00,225.0,23.4,22.9,23.65,-0.8500004,-3.5051563,4.0,267,0.2625195819091797,False,REGULAR,USD
31,AMZN260618P00230000,2025-01-24 17:56:42+00:00,230.0,25.9,25.25,25.9,-0.22999954,-0.8802126,32.0,92,0.25925423370361333,False,REGULAR,USD
32,AMZN260618P00235000,2025-01-24 18:00:08+00:00,235.0,28.25,27.45,28.25,-0.35000038,-1.2237775,55.0,86,0.25571423004150395,True,REGULAR,USD
