,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PYPL250221C00040000,2025-01-28 16:00:55+00:00,40.0,49.4,47.1,50.8,0.0,0.0,4.0,7,1.8417976660156248,True,REGULAR,USD
1,PYPL250221C00042500,2024-12-27 16:29:01+00:00,42.5,44.6,45.05,46.45,0.0,0.0,1.0,1,1.716798291015625,True,REGULAR,USD
2,PYPL250221C00045000,2025-01-28 18:12:56+00:00,45.0,44.05,42.6,44.05,0.0,0.0,2.0,3,1.6728531982421875,True,REGULAR,USD
3,PYPL250221C00047500,2024-12-09 15:10:31+00:00,47.5,44.3,42.65,43.0,0.0,0.0,,1,2.129399207763672,True,REGULAR,USD
4,PYPL250221C00050000,2025-01-14 14:52:49+00:00,50.0,36.14,37.6,40.2,0.0,0.0,1.0,37,1.3408236083984373,True,REGULAR,USD
5,PYPL250221C00055000,2024-12-17 17:44:41+00:00,55.0,36.69,35.05,35.5,0.0,0.0,2.0,4,1.705079599609375,True,REGULAR,USD
6,PYPL250221C00060000,2025-01-28 14:39:35+00:00,60.0,27.94,28.6,29.55,0.0,0.0,2.0,23,1.056645341796875,True,REGULAR,USD
7,PYPL250221C00065000,2025-01-31 20:54:40+00:00,65.0,23.95,23.8,24.05,-1.3999996,-5.522681,3.0,47,0.8085956640624999,True,REGULAR,USD
8,PYPL250221C00070000,2025-01-31 16:01:51+00:00,70.0,20.66,18.85,19.25,0.20999908,1.0268904,5.0,184,0.6958038232421876,True,REGULAR,USD
9,PYPL250221C00072500,2025-01-31 14:55:57+00:00,72.5,17.75,15.55,16.85,0.75,4.4117646,1.0,559,0.7016631396484375,True,REGULAR,USD
10,PYPL250221C00075000,2025-01-31 20:11:28+00:00,75.0,14.31,13.85,14.4,-1.4399996,-9.142855,1.0,719,0.5542036767578126,True,REGULAR,USD
11,PYPL250221C00077500,2025-01-31 15:42:13+00:00,77.5,13.5,11.6,12.15,0.5,3.8461537,2.0,841,0.5302781347656251,True,REGULAR,USD
12,PYPL250221C00080000,2025-01-31 17:26:54+00:00,80.0,10.07,9.65,10.05,-0.7300005,-6.7592635,20.0,1339,0.5278367529296876,True,REGULAR,USD
13,PYPL250221C00081000,2025-01-30 20:57:32+00:00,81.0,9.95,8.3,9.25,0.0,0.0,17.0,54,0.5522505712890625,True,REGULAR,USD
14,PYPL250221C00082000,2025-01-30 20:46:24+00:00,82.0,8.75,7.7,8.5,0.0,0.0,7.0,40,0.5468795312500001,True,REGULAR,USD
15,PYPL250221C00082500,2025-01-31 18:19:49+00:00,82.5,8.7,7.95,9.15,-0.3000002,-3.3333354,11.0,1538,0.6022988989257814,True,REGULAR,USD
16,PYPL250221C00083000,2025-01-30 20:47:13+00:00,83.0,8.2,6.6,7.75,0.0,0.0,13.0,18,0.5376022802734376,True,REGULAR,USD
17,PYPL250221C00084000,2025-01-30 17:54:57+00:00,84.0,7.8,6.8,8.1,-0.14999962,-1.8867877,1.0,33,0.5839885351562499,True,REGULAR,USD
18,PYPL250221C00085000,2025-01-31 20:49:33+00:00,85.0,6.5,6.25,6.4,-0.44000006,-6.340059,40.0,2699,0.5180712255859375,True,REGULAR,USD
19,PYPL250221C00086000,2025-01-30 15:03:02+00:00,86.0,6.7,5.5,6.6,0.0,0.0,6.0,19,0.5566450585937501,True,REGULAR,USD
20,PYPL250221C00087000,2025-01-30 20:39:19+00:00,87.0,5.75,5.05,5.2,0.0,0.0,30.0,272,0.5107470800781251,True,REGULAR,USD
21,PYPL250221C00087500,2025-01-31 20:49:43+00:00,87.5,5.04,4.65,5.35,-0.90999985,-15.294116,19.0,1977,0.5273484765625001,True,REGULAR,USD
22,PYPL250221C00088000,2025-01-31 19:43:14+00:00,88.0,4.9,4.5,4.65,-0.8499999,-14.782607,19.0,44,0.506840869140625,True,REGULAR,USD
23,PYPL250221C00089000,2025-01-31 20:21:23+00:00,89.0,4.1,3.9,4.15,-0.7000003,-14.583339,34.0,403,0.5131884619140624,False,REGULAR,USD
24,PYPL250221C00090000,2025-01-31 20:59:23+00:00,90.0,3.65,3.55,3.7,-0.5999999,-14.117645,446.0,10062,0.5031787963867188,False,REGULAR,USD
25,PYPL250221C00091000,2025-01-31 20:55:00+00:00,91.0,3.2,2.83,3.3,-0.44000006,-12.0879135,95.0,1085,0.5129443237304687,False,REGULAR,USD
26,PYPL250221C00092000,2025-01-31 20:01:39+00:00,92.0,2.8,2.68,2.92,-0.6500001,-18.840582,50.0,38,0.5119677709960937,False,REGULAR,USD
27,PYPL250221C00092500,2025-01-31 20:55:05+00:00,92.5,2.6,2.49,2.94,-0.5600002,-17.721525,62.0,1272,0.5083056982421875,False,REGULAR,USD
28,PYPL250221C00093000,2025-01-31 19:33:30+00:00,93.0,2.81,2.33,2.53,-0.28999996,-9.354837,23.0,455,0.50586431640625,False,REGULAR,USD
29,PYPL250221C00094000,2025-01-31 20:36:10+00:00,94.0,2.25,2.12,2.25,-0.54999995,-19.642857,203.0,214,0.5007374145507812,False,REGULAR,USD
30,PYPL250221C00095000,2025-01-31 20:59:59+00:00,95.0,1.88,1.78,1.95,-0.45999992,-19.658117,618.0,3750,0.5061084545898438,False,REGULAR,USD
31,PYPL250221C00096000,2025-01-31 20:42:30+00:00,96.0,1.66,1.6,1.73,-0.49000013,-22.790703,41.0,118,0.5009815527343751,False,REGULAR,USD
32,PYPL250221C00097000,2025-01-31 20:49:43+00:00,97.0,1.48,1.31,1.51,-0.51,-25.628141,14.0,101,0.5107470800781251,False,REGULAR,USD
33,PYPL250221C00097500,2025-01-31 20:37:29+00:00,97.5,1.34,1.29,1.36,-0.30999994,-18.787876,29.0,1361,0.5034229345703125,False,REGULAR,USD
34,PYPL250221C00098000,2025-01-31 20:36:10+00:00,98.0,1.27,1.2,1.27,-0.31000006,-19.620256,205.0,80,0.5041553491210937,False,REGULAR,USD
35,PYPL250221C00099000,2025-01-31 19:00:02+00:00,99.0,1.26,1.04,1.1,-0.01999998,-1.5624986,93.0,140,0.5048877636718749,False,REGULAR,USD
36,PYPL250221C00100000,2025-01-31 20:56:09+00:00,100.0,0.94,0.91,0.94,-0.19,-16.81416,445.0,5395,0.5009815527343751,False,REGULAR,USD
37,PYPL250221C00101000,2025-01-31 19:00:02+00:00,101.0,0.85,0.77,0.83,-0.060000002,-6.593406,5.0,397,0.5026905200195313,False,REGULAR,USD
38,PYPL250221C00102000,2025-01-31 19:43:51+00:00,102.0,0.73,0.67,0.72,-0.22999996,-23.95833,4.0,39,0.5053760400390624,False,REGULAR,USD
39,PYPL250221C00103000,2025-01-31 18:32:40+00:00,103.0,0.62,0.41,0.63,-0.19,-23.45679,8.0,46,0.5141650146484374,False,REGULAR,USD
40,PYPL250221C00105000,2025-01-31 20:51:49+00:00,105.0,0.52,0.41,0.48,-0.02000004,-3.703711,293.0,3108,0.5107470800781251,False,REGULAR,USD
41,PYPL250221C00110000,2025-01-31 20:44:14+00:00,110.0,0.24,0.22,0.26,-0.060000017,-20.000006,106.0,2496,0.5361374511718751,False,REGULAR,USD
42,PYPL250221C00115000,2025-01-31 20:47:11+00:00,115.0,0.16,0.12,0.2,0.0,0.0,33.0,1110,0.577152666015625,False,REGULAR,USD
43,PYPL250221C00120000,2025-01-31 17:54:19+00:00,120.0,0.09,0.05,0.15,0.0,0.0,70.0,888,0.6054726953125001,False,REGULAR,USD
44,PYPL250221C00125000,2025-01-31 15:34:53+00:00,125.0,0.05,0.02,0.09,0.0,0.0,5.0,198,0.6210975390625001,False,REGULAR,USD
45,PYPL250221C00130000,2025-01-31 19:17:31+00:00,130.0,0.02,0.01,0.04,-0.01,-33.333336,30.0,1141,0.6210975390625001,False,REGULAR,USD
46,PYPL250221C00135000,2025-01-31 16:51:38+00:00,135.0,0.03,0.01,0.03,-0.01,-25.0,13.0,461,0.6562534375000001,False,REGULAR,USD
