,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PYPL250620P00027500,2024-12-24 16:15:34+00:00,27.5,0.05,0.0,0.31,0.0,0.0,2.0,378,0.88476677734375,False,REGULAR,USD
1,PYPL250620P00030000,2024-12-16 05:02:26+00:00,30.0,0.07,0.0,0.29,0.0,0.0,1.0,399,0.81445498046875,False,REGULAR,USD
2,PYPL250620P00032500,2025-01-27 15:31:42+00:00,32.5,0.1,0.0,0.7,0.0,0.0,3.0,345,0.8730481445312499,False,REGULAR,USD
3,PYPL250620P00035000,2025-01-31 16:08:47+00:00,35.0,0.01,0.0,0.44,0.0,0.0,24.0,262,0.75195560546875,False,REGULAR,USD
4,PYPL250620P00037500,2024-11-29 14:30:09+00:00,37.5,0.12,0.0,0.41,0.0,0.0,3.0,3424,0.69336244140625,False,REGULAR,USD
5,PYPL250620P00040000,2024-11-22 20:15:19+00:00,40.0,0.13,0.0,0.43,0.0,0.0,4.0,1176,0.65039412109375,False,REGULAR,USD
6,PYPL250620P00042500,2025-01-13 16:02:21+00:00,42.5,0.15,0.0,0.36,0.0,0.0,2.0,1588,0.5888712988281251,False,REGULAR,USD
7,PYPL250620P00045000,2025-01-23 16:56:13+00:00,45.0,0.01,0.0,0.76,0.0,0.0,120.0,1215,0.622074091796875,False,REGULAR,USD
8,PYPL250620P00047500,2025-01-30 15:07:06+00:00,47.5,0.1,0.02,0.17,0.0,0.0,4.0,5462,0.5029346582031251,False,REGULAR,USD
9,PYPL250620P00050000,2025-01-28 20:54:54+00:00,50.0,0.15,0.04,0.18,0.0,0.0,3.0,6000,0.47070841796875,False,REGULAR,USD
10,PYPL250620P00052500,2025-01-10 18:22:32+00:00,52.5,0.35,0.08,0.39,0.0,0.0,1.0,4259,0.4995167236328125,False,REGULAR,USD
