,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,RDDT270617C00085000,2025-01-29 15:08:31+00:00,85.0,134.34,131.5,136.0,0.0,0.0,1.0,4,0.7668175173950197,True,REGULAR,USD
1,RDDT270617C00100000,2025-01-31 17:58:16+00:00,100.0,130.49,123.3,126.6,30.490005,30.490005,1.0,2,0.7515283636474608,True,REGULAR,USD
2,RDDT270617C00105000,2025-01-13 14:35:35+00:00,105.0,91.0,120.5,124.5,0.0,0.0,,20,0.7521997436523438,True,REGULAR,USD
3,RDDT270617C00120000,2025-01-30 18:40:38+00:00,120.0,113.37,112.5,117.0,0.0,0.0,1.0,2,0.7418543881225584,True,REGULAR,USD
4,RDDT270617C00125000,2025-01-27 14:32:57+00:00,125.0,86.0,109.5,114.5,0.0,0.0,1.0,10,0.7347743807983399,True,REGULAR,USD
5,RDDT270617C00130000,2025-01-29 19:44:51+00:00,130.0,112.0,107.5,112.0,0.0,0.0,1.0,3,0.7336452416992187,True,REGULAR,USD
6,RDDT270617C00135000,2025-01-17 19:18:03+00:00,135.0,88.5,105.7,109.2,0.0,0.0,1.0,2,0.7311428253173828,True,REGULAR,USD
7,RDDT270617C00140000,2025-01-31 20:45:30+00:00,140.0,105.0,103.5,107.5,4.9000015,4.8951063,1.0,14,0.7322109298706053,True,REGULAR,USD
8,RDDT270617C00145000,2025-01-22 15:39:11+00:00,145.0,92.2,101.0,105.5,0.0,0.0,1.0,6,0.7290066162109375,True,REGULAR,USD
9,RDDT270617C00150000,2025-01-31 17:58:16+00:00,150.0,105.66,99.0,103.0,6.7100067,6.7812095,2.0,5,0.7253140261840819,True,REGULAR,USD
10,RDDT270617C00155000,2025-01-17 17:43:13+00:00,155.0,79.54,97.0,101.0,0.0,0.0,,1,0.7239407489013672,True,REGULAR,USD
11,RDDT270617C00160000,2025-01-21 17:44:58+00:00,160.0,85.42,95.7,98.45,0.0,0.0,2.0,2,0.7228421270751952,True,REGULAR,USD
12,RDDT270617C00165000,2025-01-21 20:03:41+00:00,165.0,84.55,93.6,96.45,0.0,0.0,11.0,10,0.7198972102355958,True,REGULAR,USD
13,RDDT270617C00170000,2025-01-31 19:37:21+00:00,170.0,95.0,91.85,95.4,10.5,12.426036,3.0,14,0.7233304034423829,True,REGULAR,USD
14,RDDT270617C00175000,2025-01-29 19:07:31+00:00,175.0,90.52,90.3,93.0,0.0,0.0,2.0,7,0.7202481588745118,True,REGULAR,USD
15,RDDT270617C00180000,2025-01-24 20:45:25+00:00,180.0,75.8,87.5,91.35,0.0,0.0,26.0,26,0.714297290649414,True,REGULAR,USD
16,RDDT270617C00185000,2025-01-30 17:18:32+00:00,185.0,86.74,86.75,89.6,0.0,0.0,1.0,4,0.7177152252197265,True,REGULAR,USD
17,RDDT270617C00190000,2025-01-29 19:37:29+00:00,190.0,86.24,84.05,88.0,0.0,0.0,3.0,11,0.7118711674499512,True,REGULAR,USD
18,RDDT270617C00195000,2025-01-28 18:17:12+00:00,195.0,77.09,83.4,86.0,0.0,0.0,2.0,42,0.7136869451904297,True,REGULAR,USD
19,RDDT270617C00200000,2025-01-31 16:16:26+00:00,200.0,87.25,81.7,84.8,4.959999,6.0274625,9.0,30,0.7139005661010743,False,REGULAR,USD
20,RDDT270617C00220000,2025-01-29 17:37:15+00:00,220.0,77.45,74.5,78.5,0.0,0.0,7.0,30,0.7027007269287109,False,REGULAR,USD
21,RDDT270617C00230000,2025-01-29 15:35:05+00:00,230.0,73.62,72.6,75.5,0.0,0.0,1.0,3,0.7037840901184083,False,REGULAR,USD
22,RDDT270617C00240000,2025-01-31 20:25:29+00:00,240.0,70.61,70.1,72.8,-3.1399994,-4.257626,2.0,4,0.7023955541992188,False,REGULAR,USD
23,RDDT270617C00250000,2025-01-30 17:02:46+00:00,250.0,68.05,67.35,70.0,0.0,0.0,1.0,14,0.6985198605346681,False,REGULAR,USD
24,RDDT270617C00260000,2025-01-31 20:18:05+00:00,260.0,64.81,64.8,67.5,0.80999756,1.2656212,92.0,1140,0.6959106336975098,False,REGULAR,USD
