,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,RDDT250214P00095000,2025-01-29 20:52:44+00:00,95.0,0.08,0.0,0.1,0.0,0.0,7.0,325,1.4375028125,False,REGULAR,USD
1,RDDT250214P00100000,2025-01-31 18:11:35+00:00,100.0,0.08,0.04,0.3,-0.08,-50.0,41.0,17,1.5546897265624997,False,REGULAR,USD
2,RDDT250214P00105000,2025-01-16 15:35:25+00:00,105.0,0.6,0.06,0.79,0.0,0.0,,13,1.6611345068359378,False,REGULAR,USD
3,RDDT250214P00110000,2025-01-30 17:39:04+00:00,110.0,0.34,0.08,0.4,0.0,0.0,1.0,114,1.423831005859375,False,REGULAR,USD
4,RDDT250214P00115000,2025-01-22 20:08:29+00:00,115.0,0.57,0.12,0.8,0.0,0.0,1.0,25,1.4697292138671876,False,REGULAR,USD
5,RDDT250214P00120000,2025-01-31 16:24:15+00:00,120.0,0.25,0.3,0.5,-0.35000002,-58.333336,3.0,49,1.3378939355468746,False,REGULAR,USD
6,RDDT250214P00125000,2025-01-27 19:01:26+00:00,125.0,1.15,0.31,0.81,0.0,0.0,3.0,39,1.3173862255859374,False,REGULAR,USD
7,RDDT250214P00130000,2025-01-31 20:06:50+00:00,130.0,0.7,0.62,0.82,0.0,0.0,5.0,142,1.2812535937499998,False,REGULAR,USD
8,RDDT250214P00135000,2025-01-31 19:23:46+00:00,135.0,0.83,0.42,1.0,-0.08000004,-8.791213,1.0,237,1.1816447167968749,False,REGULAR,USD
9,RDDT250214P00140000,2025-01-31 17:40:56+00:00,140.0,1.34,1.13,1.3,0.01999998,1.51515,11.0,305,1.2211953002929685,False,REGULAR,USD
10,RDDT250214P00145000,2025-01-31 20:02:32+00:00,145.0,1.56,1.49,1.72,0.119999886,8.333325,113.0,215,1.2016641479492187,False,REGULAR,USD
11,RDDT250214P00150000,2025-01-31 20:46:08+00:00,150.0,2.09,1.96,2.23,0.029999971,1.4563093,44.0,4152,1.1828654138183592,False,REGULAR,USD
12,RDDT250214P00152500,2025-01-31 20:02:42+00:00,152.5,2.3,2.24,2.48,-0.30999994,-11.877393,9.0,72,1.1704143041992188,False,REGULAR,USD
13,RDDT250214P00155000,2025-01-31 20:15:27+00:00,155.0,2.76,2.58,2.8,-0.089999914,-3.1578918,48.0,165,1.1633342614746094,False,REGULAR,USD
14,RDDT250214P00157500,2025-01-31 15:40:18+00:00,157.5,2.6,2.93,3.15,-0.8000002,-23.529415,2.0,55,1.154301103515625,False,REGULAR,USD
15,RDDT250214P00160000,2025-01-31 20:41:55+00:00,160.0,3.55,3.35,4.5,-0.20000005,-5.3333344,31.0,227,1.2026407055664063,False,REGULAR,USD
16,RDDT250214P00162500,2025-01-31 16:39:16+00:00,162.5,3.22,3.75,4.45,-0.68000007,-17.4359,3.0,38,1.1640666796875,False,REGULAR,USD
17,RDDT250214P00165000,2025-01-31 18:58:14+00:00,165.0,3.98,4.25,4.6,-0.77,-16.210526,14.0,138,1.1398968786621095,False,REGULAR,USD
18,RDDT250214P00167500,2025-01-31 20:48:49+00:00,167.5,4.9,4.85,5.7,-0.4000001,-7.547171,7.0,91,1.1637004705810547,False,REGULAR,USD
19,RDDT250214P00170000,2025-01-31 20:06:50+00:00,170.0,6.2,5.1,5.85,0.119999886,1.9736824,78.0,4113,1.121342283935547,False,REGULAR,USD
20,RDDT250214P00172500,2025-01-31 20:43:33+00:00,172.5,6.58,6.05,7.05,0.17999983,2.8124974,8.0,84,1.1538128247070314,False,REGULAR,USD
21,RDDT250214P00175000,2025-01-31 20:47:36+00:00,175.0,7.0,6.8,7.95,-0.5500002,-7.2847705,65.0,203,1.158207333984375,False,REGULAR,USD
22,RDDT250214P00177500,2025-01-31 20:08:07+00:00,177.5,8.35,7.65,9.05,2.2700005,37.335533,2.0,48,1.1695598162841796,False,REGULAR,USD
23,RDDT250214P00180000,2025-01-31 20:48:20+00:00,180.0,8.5,8.25,9.25,0.10000038,1.1904808,376.0,248,1.1323285571289063,False,REGULAR,USD
24,RDDT250214P00182500,2025-01-31 19:52:52+00:00,182.5,9.1,8.3,10.85,-0.29999924,-3.1914814,2.0,53,1.1243940264892578,False,REGULAR,USD
25,RDDT250214P00185000,2025-01-31 15:54:59+00:00,185.0,9.17,10.3,10.6,-2.0299997,-18.124998,2.0,115,1.1162153564453123,False,REGULAR,USD
26,RDDT250214P00187500,2025-01-31 20:08:25+00:00,187.5,12.3,10.4,11.7,0.97000027,8.561344,5.0,98,1.0853317218017577,False,REGULAR,USD
27,RDDT250214P00190000,2025-01-31 20:01:01+00:00,190.0,12.5,12.45,13.45,-0.7399998,-5.5891223,139.0,101,1.1398968786621095,False,REGULAR,USD
28,RDDT250214P00195000,2025-01-31 18:54:26+00:00,195.0,13.65,14.1,15.95,-1.2800007,-8.573346,6.0,26,1.118534680786133,False,REGULAR,USD
