,0
0,3.471511373388071
1,3.474038585958017
2,3.4767931291057783
3,3.4797963219914965
4,3.483057275612701
5,3.486573549392265
6,3.490343578777375
7,3.4943664970036026
8,3.498643982736238
9,3.5031745237189846
10,3.5079590492664816
11,3.512993545567423
12,3.5182776547453383
13,3.523807213199607
14,3.5295849382730564
15,3.53558639039474
16,3.5418571362582263
17,3.548371462652257
18,3.555130891450059
19,3.562129924751243
20,3.569375319513805
21,3.576858229093062
22,3.584581870223082
23,3.5925415468600974
24,3.6007424278076274
25,3.6091680857597206
26,3.617814961189722
27,3.6266798389000874
28,3.635783424202928
29,3.6451019266438554
30,3.6546545589393333
31,3.6644345327282206
32,3.674429712834048
33,3.684653820646958
34,3.695100992151219
35,3.7057656695738794
36,3.71664585790933
37,3.7277398419623453
38,3.7390458386614362
39,3.750564487298629
40,3.76228467881699
41,3.774189136578541
42,3.786281236183442
43,3.7985717651659945
44,3.8110595663731472
45,3.8237485280287364
46,3.8366344335526907
47,3.849717170882423
48,3.8629912756368796
49,3.876461829977858
50,3.8901231088900006
